,id,full_name,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction,survey_response
0,1351,Sam,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,31/12/18,115,Clean,Neutral,Very satisfied,Value3
1,373,George,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,31/12/18,135,Clean,Very safe,Very satisfied,Value3
2,2820,Jennifer,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,31/12/18,70,Average,Somewhat safe,Neutral,Value2
3,1157,George,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,31/12/18,190,Clean,Very safe,Somewhat satsified,Value3
4,2992,Sam,Wednesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,31/12/18,559,Somewhat clean,Very safe,Somewhat satsified,Value2
5,634,Matt,Thursday,ALASKA,NEWARK,East US,Hub,Gates 50-59,31/12/18,140,Somewhat clean,Very safe,Very satisfied,Value3
6,2578,Sam,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,31/12/18,63,Clean,Very safe,Somewhat satsified,Value2
8,2592,Ann,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,    Hub,Gates 1-12,31/12/18,215,Somewhat clean,Very safe,Neutral,Value2
9,919,Sam,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,31/12/18,70,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
10,3028,Ann,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,31/12/18,180,Average,Very safe,Neutral,Value3
11,1129,George,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,31/12/18,540,Clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
12,2648,George,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,31/12/18,192,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
13,3104,Sam,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,31/12/18,107,Clean,Very safe,Somewhat satsified,Value2
14,2589,Matt,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,31/12/18,155,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
15,2345,Jennifer,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,31/12/18,155,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
16,390,George,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,31/12/18,175,Somewhat clean,Neutral,Somewhat satsified,Value2
17,954,Matt,Tuesday,ALASKA,NEW YORK-JFK,EAST US,    Hub,Gates 50-59,31/12/18,100,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
18,2913,Jennifer,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,31/12/18,225,Clean,Very safe,Somewhat satsified,Value2
19,803,George,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,31/12/18,155,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
20,767,Jennifer,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,31/12/18,115,Average,Neutral,Somewhat satsified,Value2
