CustomerID,Recency,Frequency,Monetary
12821,215,6,92.72
12823,75,5,1759.5
12829,337,11,293.0
12831,263,9,215.05
12833,146,24,417.38
12834,283,18,312.38
12837,174,12,134.1
12845,268,27,354.09
12851,97,50,135.18
12852,295,17,311.55
12855,373,3,38.1
12863,53,5,521.2
12864,139,3,147.12
12871,85,11,380.64
12873,283,4,374.0
12875,144,2,343.23
12879,45,10,573.22
12881,276,7,298.0
12884,89,7,309.05
12888,215,5,354.12
12891,186,3,331.0
12897,205,4,216.5
12902,265,10,138.68
12908,177,2,750.0
12915,149,22,363.65
12917,129,2,594.0
12922,162,28,405.38
12923,65,29,176.97
12929,312,8,117.85
12938,26,9,114.14
12945,289,23,462.95
12956,307,19,108.07
12966,10,10,160.18
12967,359,19,1660.9
12968,113,5,135.95
12974,198,8,144.8
12976,212,22,738.6
12977,157,9,39.24
12982,243,28,390.54
12984,19,4,97.5
12990,32,13,409.5
12995,86,3,211.32
12999,197,28,455.88
13002,319,7,120.95
13003,106,6,149.05
13005,174,26,513.7
13006,57,4,81.57
13008,324,14,229.47
13011,373,3,50.55
13017,8,1,204.0
13033,358,11,190.55
13043,274,13,516.42
13044,292,33,560.47
13045,100,18,305.28
13049,65,14,656.68
13052,213,18,348.15
13058,25,8,271.4
13059,250,8,183.4
13060,254,15,307.53
13061,73,10,248.61
13062,192,11,346.98
13065,374,14,205.86
13067,83,15,115.46
13068,11,2,344.0
13070,193,9,228.8
13072,267,7,177.15
13079,5,6,220.1
13080,180,6,58.08
13085,158,22,416.08
13095,71,6,74.4
13099,100,1,207.36
13101,235,8,101.19
13103,40,8,243.94
13106,134,1,76.5
13108,373,10,350.06
13120,239,1,30.6
13121,270,50,283.73
13127,78,15,259.17
13130,95,2,64.0
13132,262,3,77.3
13133,274,7,109.8
13135,197,1,3096.0
13144,333,3,110.95
13145,40,6,618.52
13146,27,17,228.91
13147,11,4,712.8
13160,23,4,91.8
13161,314,8,112.75
13166,284,41,417.2
13169,64,13,712.88
13170,27,32,116.01
13177,65,17,282.45
13182,46,11,121.18
13185,268,1,71.4
13187,338,37,236.02
13188,12,2,114.6
13193,62,29,117.88
13194,136,3,60.7
13207,16,8,250.26
13210,94,22,353.48
13216,268,5,333.74
13217,123,4,533.98
13218,128,5,62.64
13223,201,5,163.2
13226,274,16,108.21
13227,202,9,257.7
13228,82,2,358.0
13229,226,10,160.95
13239,262,21,329.56
13242,113,13,270.4
13244,93,27,121.74
13245,51,16,430.5
13248,125,26,465.68
13260,62,8,557.62
13261,269,9,944.1
13262,264,11,200.29
13270,367,1,590.0
13272,32,15,276.56
13273,114,16,138.98
13277,16,8,258.4
13279,79,9,137.75
13283,60,7,93.66
13284,331,13,201.19
13295,360,10,201.2
13296,138,5,87.4
13298,2,2,360.0
13299,269,5,142.5
13300,170,20,371.89
13302,156,1,63.75
13304,352,21,300.42
13307,121,1,15.0
13321,73,11,567.36
13325,82,12,675.3
13328,317,17,1308.48
13338,158,19,487.02
13343,178,19,353.43
13345,288,20,389.5
13347,71,8,341.36
13348,65,14,233.76
13351,67,16,373.94
13358,269,29,439.03
13364,72,10,134.96
13366,51,1,56.16
13368,257,29,623.4
13369,366,14,308.28
13370,372,39,754.87
13372,90,23,378.64
13382,281,15,222.99
13385,330,35,534.57
13390,75,13,544.08
13391,204,1,59.8
13395,186,21,307.72
13398,193,26,457.34
13403,18,3,75.0
13411,108,18,213.55
13419,64,16,221.06
13420,150,8,159.85
13434,75,10,534.24
13439,256,54,283.71
13441,92,13,296.64
13452,260,2,590.0
13453,166,17,356.98
13460,30,17,183.44
13462,253,9,151.5
13466,185,17,307.9
13470,100,10,165.0
13474,237,64,229.59
13479,201,15,300.95
13482,233,11,184.64
13483,66,10,140.34
13484,242,8,313.8
13485,234,23,454.24
13489,106,14,449.52
13494,312,18,316.26
